anime_name,character_name,gender,affiliation,role,devil_fruit,haki,fighting_style,major_arcs,school,position,school_year,special_roles,trait,question,category,difficulty,source_note
Haikyuu!!,Akinori Konoha,Male,Fukurodani Academy,wing spiker,,,,,Fukurodani Academy,wing spiker,3rd year,,signature akinori konoha,Does your character wear jersey number 7 for Fukurodani Academy and play as a wing spiker?,signature fact,hard,https://haikyuu.fandom.com/wiki/Fukur%C5%8Ddani_Academy
Haikyuu!!,Akinori Konoha,Male,Fukurodani Academy,wing spiker,,,,,Fukurodani Academy,wing spiker,3rd year,,team fukurodani academy,Does your character belong to Fukurodani Academy?,team,easy,https://haikyuu.fandom.com/wiki/Fukur%C5%8Ddani_Academy
Haikyuu!!,Akira Kunimi,Male,Aoba Johsai High,wing spiker,,,,,Aoba Johsai High,wing spiker,1st year,,wing spiker,Is your character a wing spiker?,position,easy,https://haikyuu.fandom.com/wiki/Akira_Kunimi
Haikyuu!!,Akira Kunimi,Male,Aoba Johsai High,wing spiker,,,,,Aoba Johsai High,wing spiker,1st year,,former kitagawa daiichi player,Did your character play for Kitagawa Daiichi before high school?,relationship,medium,https://haikyuu.fandom.com/wiki/Akira_Kunimi
Haikyuu!!,Akira Kunimi,Male,Aoba Johsai High,wing spiker,,,,,Aoba Johsai High,wing spiker,1st year,,year 1st year,Is your character a first-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Akira_Kunimi
Haikyuu!!,Akira Kunimi,Male,Aoba Johsai High,wing spiker,,,,,Aoba Johsai High,wing spiker,1st year,,team aoba johsai,Does your character play for Aoba Johsai?,team,easy,https://haikyuu.fandom.com/wiki/Akira_Kunimi
Haikyuu!!,Aoi Himekawa,Male,Tsubakihara Academy,wing spiker,,,,,Tsubakihara Academy,wing spiker,1st year,pinch server; ceiling serve,ceiling serve,Does your character use an underhand ceiling serve?,concrete ability,medium,https://haikyuu.fandom.com/wiki/Tsubakihara_Academy
Haikyuu!!,Aoi Himekawa,Male,Tsubakihara Academy,wing spiker,,,,,Tsubakihara Academy,wing spiker,1st year,pinch server; ceiling serve,gender male,Is your character male?,gender,easy,https://haikyuu.fandom.com/wiki/Tsubakihara_Academy
Haikyuu!!,Aoi Himekawa,Male,Tsubakihara Academy,wing spiker,,,,,Tsubakihara Academy,wing spiker,1st year,pinch server; ceiling serve,pinch server,Is your character used as a pinch server?,official role,easy,https://haikyuu.fandom.com/wiki/Tsubakihara_Academy
Haikyuu!!,Aoi Himekawa,Male,Tsubakihara Academy,wing spiker,,,,,Tsubakihara Academy,wing spiker,1st year,pinch server; ceiling serve,wing spiker,Is your character a wing spiker?,position,easy,https://haikyuu.fandom.com/wiki/Tsubakihara_Academy
Haikyuu!!,Aoi Himekawa,Male,Tsubakihara Academy,wing spiker,,,,,Tsubakihara Academy,wing spiker,1st year,pinch server; ceiling serve,year 1st year,Is your character a first-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Tsubakihara_Academy
Haikyuu!!,Aoi Himekawa,Male,Tsubakihara Academy,wing spiker,,,,,Tsubakihara Academy,wing spiker,1st year,pinch server; ceiling serve,signature aoi himekawa,Does your character wear jersey number 14 for Tsubakihara Academy and play as a wing spiker?,signature fact,hard,https://haikyuu.fandom.com/wiki/Tsubakihara_Academy
Haikyuu!!,Aoi Himekawa,Male,Tsubakihara Academy,wing spiker,,,,,Tsubakihara Academy,wing spiker,1st year,pinch server; ceiling serve,team tsubakihara academy,Does your character belong to Tsubakihara Academy?,team,easy,https://haikyuu.fandom.com/wiki/Tsubakihara_Academy
Haikyuu!!,Aran Ojiro,Male,Inarizaki High,wing spiker,,,,,Inarizaki High,wing spiker,3rd year,ace,ace,Is your character the official ace of their team?,official role,easy,https://haikyuu.fandom.com/wiki/Aran_Ojiro
Haikyuu!!,Aran Ojiro,Male,Inarizaki High,wing spiker,,,,,Inarizaki High,wing spiker,3rd year,ace,top national ace,Is your character recognized in the story as one of Japan's top high-school aces?,official role,easy,https://haikyuu.fandom.com/wiki/Aran_Ojiro
Haikyuu!!,Aran Ojiro,Male,Inarizaki High,wing spiker,,,,,Inarizaki High,wing spiker,3rd year,ace,wing spiker,Is your character a wing spiker?,position,easy,https://haikyuu.fandom.com/wiki/Aran_Ojiro
Haikyuu!!,Aran Ojiro,Male,Inarizaki High,wing spiker,,,,,Inarizaki High,wing spiker,3rd year,ace,year 3rd year,Is your character a third-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Aran_Ojiro
Haikyuu!!,Aran Ojiro,Male,Inarizaki High,wing spiker,,,,,Inarizaki High,wing spiker,3rd year,ace,team inarizaki,Does your character play for Inarizaki?,team,easy,https://haikyuu.fandom.com/wiki/Aran_Ojiro
Haikyuu!!,Arata Tsuchiyu,Male,Johzenji High,libero,,,,,Johzenji High,libero,2nd year,,gender male,Is your character male?,gender,easy,https://haikyuu.fandom.com/wiki/Johzenji_High
Haikyuu!!,Arata Tsuchiyu,Male,Johzenji High,libero,,,,,Johzenji High,libero,2nd year,,libero,Is your character a libero?,position,easy,https://haikyuu.fandom.com/wiki/Johzenji_High
Haikyuu!!,Arata Tsuchiyu,Male,Johzenji High,libero,,,,,Johzenji High,libero,2nd year,,year 2nd year,Is your character a second-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Johzenji_High
Haikyuu!!,Arata Tsuchiyu,Male,Johzenji High,libero,,,,,Johzenji High,libero,2nd year,,signature arata tsuchiyu,Does your character wear jersey number 11 for Johzenji High and play as a libero?,signature fact,hard,https://haikyuu.fandom.com/wiki/Johzenji_High
Haikyuu!!,Arata Tsuchiyu,Male,Johzenji High,libero,,,,,Johzenji High,libero,2nd year,,team johzenji high,Does your character belong to Johzenji High?,team,easy,https://haikyuu.fandom.com/wiki/Johzenji_High
Haikyuu!!,Asahi Azumane,Male,Karasuno High,wing spiker,,,,,Karasuno High,wing spiker,3rd year,ace,long hair,Does your character have long hair?,appearance,easy,https://haikyuu.fandom.com/wiki/Asahi_Azumane
Haikyuu!!,Asahi Azumane,Male,Karasuno High,wing spiker,,,,,Karasuno High,wing spiker,3rd year,ace,ace,Is your character the official ace of their team?,official role,easy,https://haikyuu.fandom.com/wiki/Asahi_Azumane
Haikyuu!!,Asahi Azumane,Male,Karasuno High,wing spiker,,,,,Karasuno High,wing spiker,3rd year,ace,wing spiker,Is your character a wing spiker?,position,easy,https://haikyuu.fandom.com/wiki/Asahi_Azumane
Haikyuu!!,Asahi Azumane,Male,Karasuno High,wing spiker,,,,,Karasuno High,wing spiker,3rd year,ace,year 3rd year,Is your character a third-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Asahi_Azumane
Haikyuu!!,Asahi Azumane,Male,Karasuno High,wing spiker,,,,,Karasuno High,wing spiker,3rd year,ace,team karasuno,Does your character play for Karasuno?,team,easy,https://haikyuu.fandom.com/wiki/Asahi_Azumane
Haikyuu!!,Atsumu Miya,Male,Inarizaki High,setter,,,,,Inarizaki High,setter,2nd year,,blond hair,Does your character have blond hair?,appearance,easy,https://haikyuu.fandom.com/wiki/Atsumu_Miya
Haikyuu!!,Atsumu Miya,Male,Inarizaki High,setter,,,,,Inarizaki High,setter,2nd year,,setter,Is your character a setter?,position,easy,https://haikyuu.fandom.com/wiki/Atsumu_Miya
Haikyuu!!,Atsumu Miya,Male,Inarizaki High,setter,,,,,Inarizaki High,setter,2nd year,,miya twin,Is your character one of the Miya twins?,relationship,medium,https://haikyuu.fandom.com/wiki/Atsumu_Miya
Haikyuu!!,Atsumu Miya,Male,Inarizaki High,setter,,,,,Inarizaki High,setter,2nd year,,year 2nd year,Is your character a second-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Atsumu_Miya
Haikyuu!!,Atsumu Miya,Male,Inarizaki High,setter,,,,,Inarizaki High,setter,2nd year,,team inarizaki,Does your character play for Inarizaki?,team,easy,https://haikyuu.fandom.com/wiki/Atsumu_Miya
Haikyuu!!,Chiharu Tsukioka,Male,Tsubakihara Academy,pinch server,,,,,Tsubakihara Academy,pinch server,2nd year,,gender male,Is your character male?,gender,easy,https://haikyuu.fandom.com/wiki/Tsubakihara_Academy
Haikyuu!!,Chiharu Tsukioka,Male,Tsubakihara Academy,pinch server,,,,,Tsubakihara Academy,pinch server,2nd year,,role pinch server,Is your character a pinch server?,role,easy,https://haikyuu.fandom.com/wiki/Tsubakihara_Academy
Haikyuu!!,Chiharu Tsukioka,Male,Tsubakihara Academy,pinch server,,,,,Tsubakihara Academy,pinch server,2nd year,,year 2nd year,Is your character a second-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Tsubakihara_Academy
Haikyuu!!,Chiharu Tsukioka,Male,Tsubakihara Academy,pinch server,,,,,Tsubakihara Academy,pinch server,2nd year,,signature chiharu tsukioka,Does your character wear jersey number 3 for Tsubakihara Academy and play as a pinch server?,signature fact,hard,https://haikyuu.fandom.com/wiki/Tsubakihara_Academy
Haikyuu!!,Chiharu Tsukioka,Male,Tsubakihara Academy,pinch server,,,,,Tsubakihara Academy,pinch server,2nd year,,team tsubakihara academy,Does your character belong to Tsubakihara Academy?,team,easy,https://haikyuu.fandom.com/wiki/Tsubakihara_Academy
Haikyuu!!,Chikara Ennoshita,Male,Karasuno High,wing spiker,,,,,Karasuno High,wing spiker,2nd year,,wing spiker,Is your character a wing spiker?,position,easy,https://haikyuu.fandom.com/wiki/Chikara_Ennoshita
Haikyuu!!,Chikara Ennoshita,Male,Karasuno High,wing spiker,,,,,Karasuno High,wing spiker,2nd year,,year 2nd year,Is your character a second-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Chikara_Ennoshita
Haikyuu!!,Chikara Ennoshita,Male,Karasuno High,wing spiker,,,,,Karasuno High,wing spiker,2nd year,,team karasuno,Does your character play for Karasuno?,team,easy,https://haikyuu.fandom.com/wiki/Chikara_Ennoshita
Haikyuu!!,Dai Mikawa,Male,Tsubakihara Academy,pinch server,,,,,Tsubakihara Academy,pinch server,2nd year,,gender male,Is your character male?,gender,easy,https://haikyuu.fandom.com/wiki/Tsubakihara_Academy
Haikyuu!!,Dai Mikawa,Male,Tsubakihara Academy,pinch server,,,,,Tsubakihara Academy,pinch server,2nd year,,role pinch server,Is your character a pinch server?,role,easy,https://haikyuu.fandom.com/wiki/Tsubakihara_Academy
Haikyuu!!,Dai Mikawa,Male,Tsubakihara Academy,pinch server,,,,,Tsubakihara Academy,pinch server,2nd year,,year 2nd year,Is your character a second-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Tsubakihara_Academy
Haikyuu!!,Dai Mikawa,Male,Tsubakihara Academy,pinch server,,,,,Tsubakihara Academy,pinch server,2nd year,,signature dai mikawa,Does your character wear jersey number 5 for Tsubakihara Academy and play as a pinch server?,signature fact,hard,https://haikyuu.fandom.com/wiki/Tsubakihara_Academy
Haikyuu!!,Dai Mikawa,Male,Tsubakihara Academy,pinch server,,,,,Tsubakihara Academy,pinch server,2nd year,,team tsubakihara academy,Does your character belong to Tsubakihara Academy?,team,easy,https://haikyuu.fandom.com/wiki/Tsubakihara_Academy
Haikyuu!!,Daichi Sawamura,Male,Karasuno High,wing spiker,,,,,Karasuno High,wing spiker,3rd year,captain,captain,Is your character the team captain?,official role,easy,https://haikyuu.fandom.com/wiki/Daichi_Sawamura
Haikyuu!!,Daichi Sawamura,Male,Karasuno High,wing spiker,,,,,Karasuno High,wing spiker,3rd year,captain,wing spiker,Is your character a wing spiker?,position,easy,https://haikyuu.fandom.com/wiki/Daichi_Sawamura
Haikyuu!!,Daichi Sawamura,Male,Karasuno High,wing spiker,,,,,Karasuno High,wing spiker,3rd year,captain,year 3rd year,Is your character a third-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Daichi_Sawamura
Haikyuu!!,Daichi Sawamura,Male,Karasuno High,wing spiker,,,,,Karasuno High,wing spiker,3rd year,captain,team karasuno,Does your character play for Karasuno?,team,easy,https://haikyuu.fandom.com/wiki/Daichi_Sawamura
Haikyuu!!,Eiji Makado,Male,Kakugawa High,middle blocker,,,,,Kakugawa High,middle blocker,2nd year,,gender male,Is your character male?,gender,easy,https://haikyuu.fandom.com/wiki/Kakugawa_High
Haikyuu!!,Eiji Makado,Male,Kakugawa High,middle blocker,,,,,Kakugawa High,middle blocker,2nd year,,middle blocker,Is your character a middle blocker?,position,easy,https://haikyuu.fandom.com/wiki/Kakugawa_High
Haikyuu!!,Eiji Makado,Male,Kakugawa High,middle blocker,,,,,Kakugawa High,middle blocker,2nd year,,year 2nd year,Is your character a second-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Kakugawa_High
Haikyuu!!,Eiji Makado,Male,Kakugawa High,middle blocker,,,,,Kakugawa High,middle blocker,2nd year,,signature eiji makado,Does your character wear jersey number 3 for Kakugawa High and play as a middle blocker?,signature fact,hard,https://haikyuu.fandom.com/wiki/Kakugawa_High
Haikyuu!!,Eiji Makado,Male,Kakugawa High,middle blocker,,,,,Kakugawa High,middle blocker,2nd year,,team kakugawa high,Does your character belong to Kakugawa High?,team,easy,https://haikyuu.fandom.com/wiki/Kakugawa_High
Haikyuu!!,Eita Semi,Male,Shiratorizawa Academy,setter,,,,,Shiratorizawa Academy,setter,3rd year,,silver hair,Does your character have silver or light-gray hair?,appearance,easy,https://haikyuu.fandom.com/wiki/Eita_Semi
Haikyuu!!,Eita Semi,Male,Shiratorizawa Academy,setter,,,,,Shiratorizawa Academy,setter,3rd year,,setter,Is your character a setter?,position,easy,https://haikyuu.fandom.com/wiki/Eita_Semi
Haikyuu!!,Eita Semi,Male,Shiratorizawa Academy,setter,,,,,Shiratorizawa Academy,setter,3rd year,,year 3rd year,Is your character a third-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Eita_Semi
Haikyuu!!,Eita Semi,Male,Shiratorizawa Academy,setter,,,,,Shiratorizawa Academy,setter,3rd year,,team shiratorizawa,Does your character play for Shiratorizawa?,team,easy,https://haikyuu.fandom.com/wiki/Eita_Semi
Haikyuu!!,Gao Hakuba,Male,Kamomedai High,wing spiker,,,,,Kamomedai High,wing spiker,2nd year,height over 200 cm,height over 200 cm,Is your character more than two meters tall?,appearance,easy,https://haikyuu.fandom.com/wiki/Kamomedai_High
Haikyuu!!,Gao Hakuba,Male,Kamomedai High,wing spiker,,,,,Kamomedai High,wing spiker,2nd year,height over 200 cm,gender male,Is your character male?,gender,easy,https://haikyuu.fandom.com/wiki/Kamomedai_High
Haikyuu!!,Gao Hakuba,Male,Kamomedai High,wing spiker,,,,,Kamomedai High,wing spiker,2nd year,height over 200 cm,wing spiker,Is your character a wing spiker?,position,easy,https://haikyuu.fandom.com/wiki/Kamomedai_High
Haikyuu!!,Gao Hakuba,Male,Kamomedai High,wing spiker,,,,,Kamomedai High,wing spiker,2nd year,height over 200 cm,year 2nd year,Is your character a second-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Kamomedai_High
Haikyuu!!,Gao Hakuba,Male,Kamomedai High,wing spiker,,,,,Kamomedai High,wing spiker,2nd year,height over 200 cm,signature gao hakuba,Does your character wear jersey number 10 for Kamomedai High and play as a wing spiker?,signature fact,hard,https://haikyuu.fandom.com/wiki/Kamomedai_High
Haikyuu!!,Gao Hakuba,Male,Kamomedai High,wing spiker,,,,,Kamomedai High,wing spiker,2nd year,height over 200 cm,team kamomedai high,Does your character belong to Kamomedai High?,team,easy,https://haikyuu.fandom.com/wiki/Kamomedai_High
Haikyuu!!,Goro Sakakibara,Male,Kakugawa High,coach,,,,,Kakugawa High,coach,,,gender male,Is your character male?,gender,easy,https://haikyuu.fandom.com/wiki/Kakugawa_High
Haikyuu!!,Goro Sakakibara,Male,Kakugawa High,coach,,,,,Kakugawa High,coach,,,role coach,Is your character a coach?,role,easy,https://haikyuu.fandom.com/wiki/Kakugawa_High
Haikyuu!!,Goro Sakakibara,Male,Kakugawa High,coach,,,,,Kakugawa High,coach,,,signature goro sakakibara,Is your character the coach of Kakugawa High?,signature fact,hard,https://haikyuu.fandom.com/wiki/Kakugawa_High
Haikyuu!!,Goro Sakakibara,Male,Kakugawa High,coach,,,,,Kakugawa High,coach,,,team kakugawa high,Does your character belong to Kakugawa High?,team,easy,https://haikyuu.fandom.com/wiki/Kakugawa_High
Haikyuu!!,Hajime Iwaizumi,Male,Aoba Johsai High,wing spiker,,,,,Aoba Johsai High,wing spiker,3rd year,vice captain; ace,ace,Is your character the official ace of their team?,official role,easy,https://haikyuu.fandom.com/wiki/Hajime_Iwaizumi
Haikyuu!!,Hajime Iwaizumi,Male,Aoba Johsai High,wing spiker,,,,,Aoba Johsai High,wing spiker,3rd year,vice captain; ace,vice captain,Is your character the team vice captain?,official role,easy,https://haikyuu.fandom.com/wiki/Hajime_Iwaizumi
Haikyuu!!,Hajime Iwaizumi,Male,Aoba Johsai High,wing spiker,,,,,Aoba Johsai High,wing spiker,3rd year,vice captain; ace,wing spiker,Is your character a wing spiker?,position,easy,https://haikyuu.fandom.com/wiki/Hajime_Iwaizumi
Haikyuu!!,Hajime Iwaizumi,Male,Aoba Johsai High,wing spiker,,,,,Aoba Johsai High,wing spiker,3rd year,vice captain; ace,oikawa childhood friend,Is your character the childhood friend of Aoba Johsai's captain?,relationship,medium,https://haikyuu.fandom.com/wiki/Hajime_Iwaizumi
Haikyuu!!,Hajime Iwaizumi,Male,Aoba Johsai High,wing spiker,,,,,Aoba Johsai High,wing spiker,3rd year,vice captain; ace,year 3rd year,Is your character a third-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Hajime_Iwaizumi
Haikyuu!!,Hajime Iwaizumi,Male,Aoba Johsai High,wing spiker,,,,,Aoba Johsai High,wing spiker,3rd year,vice captain; ace,team aoba johsai,Does your character play for Aoba Johsai?,team,easy,https://haikyuu.fandom.com/wiki/Hajime_Iwaizumi
Haikyuu!!,Hana Misaki,Female,Johzenji High,manager,,,,,Johzenji High,manager,3rd year,,gender female,Is your character female?,gender,easy,https://haikyuu.fandom.com/wiki/Johzenji_High
Haikyuu!!,Hana Misaki,Female,Johzenji High,manager,,,,,Johzenji High,manager,3rd year,,role manager,Is your character a manager?,role,easy,https://haikyuu.fandom.com/wiki/Johzenji_High
Haikyuu!!,Hana Misaki,Female,Johzenji High,manager,,,,,Johzenji High,manager,3rd year,,year 3rd year,Is your character a third-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Johzenji_High
Haikyuu!!,Hana Misaki,Female,Johzenji High,manager,,,,,Johzenji High,manager,3rd year,,signature hana misaki,Is your character a 3rd year manager for Johzenji High?,signature fact,hard,https://haikyuu.fandom.com/wiki/Johzenji_High
Haikyuu!!,Hana Misaki,Female,Johzenji High,manager,,,,,Johzenji High,manager,3rd year,,team johzenji high,Does your character belong to Johzenji High?,team,easy,https://haikyuu.fandom.com/wiki/Johzenji_High
Haikyuu!!,Haruki Komi,Male,Fukurodani Academy,libero,,,,,Fukurodani Academy,libero,3rd year,,gender male,Is your character male?,gender,easy,https://haikyuu.fandom.com/wiki/Fukur%C5%8Ddani_Academy
Haikyuu!!,Haruki Komi,Male,Fukurodani Academy,libero,,,,,Fukurodani Academy,libero,3rd year,,libero,Is your character a libero?,position,easy,https://haikyuu.fandom.com/wiki/Fukur%C5%8Ddani_Academy
Haikyuu!!,Haruki Komi,Male,Fukurodani Academy,libero,,,,,Fukurodani Academy,libero,3rd year,,year 3rd year,Is your character a third-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Fukur%C5%8Ddani_Academy
Haikyuu!!,Haruki Komi,Male,Fukurodani Academy,libero,,,,,Fukurodani Academy,libero,3rd year,,signature haruki komi,Does your character wear jersey number 11 for Fukurodani Academy and play as a libero?,signature fact,hard,https://haikyuu.fandom.com/wiki/Fukur%C5%8Ddani_Academy
Haikyuu!!,Haruki Komi,Male,Fukurodani Academy,libero,,,,,Fukurodani Academy,libero,3rd year,,team fukurodani academy,Does your character belong to Fukurodani Academy?,team,easy,https://haikyuu.fandom.com/wiki/Fukur%C5%8Ddani_Academy
Haikyuu!!,Haruma Bishin,Male,Mujinazaka High,libero,,,,,Mujinazaka High,libero,2nd year,,gender male,Is your character male?,gender,easy,https://haikyuu.fandom.com/wiki/Mujinazaka_High
Haikyuu!!,Haruma Bishin,Male,Mujinazaka High,libero,,,,,Mujinazaka High,libero,2nd year,,libero,Is your character a libero?,position,easy,https://haikyuu.fandom.com/wiki/Mujinazaka_High
Haikyuu!!,Haruma Bishin,Male,Mujinazaka High,libero,,,,,Mujinazaka High,libero,2nd year,,year 2nd year,Is your character a second-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Mujinazaka_High
Haikyuu!!,Haruma Bishin,Male,Mujinazaka High,libero,,,,,Mujinazaka High,libero,2nd year,,signature haruma bishin,Does your character wear jersey number 13 for Mujinazaka High and play as a libero?,signature fact,hard,https://haikyuu.fandom.com/wiki/Mujinazaka_High
Haikyuu!!,Haruma Bishin,Male,Mujinazaka High,libero,,,,,Mujinazaka High,libero,2nd year,,team mujinazaka high,Does your character belong to Mujinazaka High?,team,easy,https://haikyuu.fandom.com/wiki/Mujinazaka_High
Haikyuu!!,Hayato Ikejiri,Male,Tokonami High,wing spiker,,,,,Tokonami High,wing spiker,3rd year,,gender male,Is your character male?,gender,easy,https://haikyuu.fandom.com/wiki/Tokonami_High
Haikyuu!!,Hayato Ikejiri,Male,Tokonami High,wing spiker,,,,,Tokonami High,wing spiker,3rd year,,wing spiker,Is your character a wing spiker?,position,easy,https://haikyuu.fandom.com/wiki/Tokonami_High
Haikyuu!!,Hayato Ikejiri,Male,Tokonami High,wing spiker,,,,,Tokonami High,wing spiker,3rd year,,year 3rd year,Is your character a third-year high-school student?,school year,easy,https://haikyuu.fandom.com/wiki/Tokonami_High
Haikyuu!!,Hayato Ikejiri,Male,Tokonami High,wing spiker,,,,,Tokonami High,wing spiker,3rd year,,signature hayato ikejiri,Does your character wear jersey number 4 for Tokonami High and play as a wing spiker?,signature fact,hard,https://haikyuu.fandom.com/wiki/Tokonami_High
